Year,GDP
1990,49305632408
1991,49787501584
1992,55918538121
1993,52417477613
1994,57097656065
1995,69139823232
1996,75790786290
1997,82856648758
1998,90199410115
1999,98893958262
2000,100207610429
2001,109346669229
2002,128596035288
2003,164670771259
2004,194372115041
2005,211876989655
2006,232180617162
2007,270079279419
2008,275447471451
2009,236443115853
2010,221913560882
2011,239003132208
2012,225628699652
2013,238340859896
2014,259170903647
2015,291775166506
2016,299091127524
2017,336377500160
2018,385736680797
2019,399321701632
2020,425852281928
2021,504182603276
